Unnamed: 0,address,stETH,wstETH,total,label,type,protocol_type,total_token_share,reaction_time,distribution
1858,0x9bfc93e34d9fcb6f62e3a3a42fd9b11018c8aea6,0.1173278126656212,10.080775049457245,10.198102862122866,,Private,,0.0001133573851541,3,Original
1859,0xb97d122590cd2167248f3fdd7c7a4b8c2fd51860,0.1173278126656212,10.080412779678246,10.197740592343868,,Private,,0.0001133533583312,3,Original
1860,0x0ea4dda80bec4e2cc4a7f09bc0362ebb6afd6603,0.1173278126656212,10.011245766442835,10.128573579108457,,No label,No label,0.0001125845298672,3,Original
1861,0xf3bcedab2998933c6aad1cb31430d8bab329dd8c,0.1173278126656212,9.995780422093388,10.113108234759007,,No label,No label,0.0001124126242667,3,Original
1862,0x3b95bc951ee0f553ba487327278cac44f29715e5,0.1173278126656212,9.957894530879598,10.07522234354522,,No label,No label,0.000111991502258,3,Original
1863,0x786589a88f0f9f921816c96e9b140c82dea5f266,0.1173278126656212,9.943381062836044,10.060708875501666,,No label,No label,0.0001118301772734,3,Original
1864,0xf6ae5ad2edc71a5e24b6f7ef46339878520a1ab7,0.1173278126656212,9.940074162254865,10.057401974920486,,No label,No label,0.0001117934192991,3,Original
1865,0x2efd4625d0c149ebadf118ec5446c6de24d916a4,0.1173278126656212,9.930006398152164,10.047334210817786,,No label,No label,0.0001116815106992,3,Original
1866,0x645e915acf0cd13b91191a4b2192a52ddd582018,0.1173278126656212,9.920505706931802,10.037833519597424,,No label,No label,0.0001115759054187,3,Original
1867,0x53c10dc5f7861cc803b017d4220fb51adc47f0ab,0.1173278126656212,9.91838506336585,10.035712876031472,,Private,,0.0001115523333276,3,Original
1868,0xd095dae00f18abd8564e6146fed7bc1b1aa83982,0.1173278126656212,9.898082633353344,10.015410446018963,,No label,No label,0.0001113266609246,3,Original
1869,0x7a1f947e5b66f74654722435f22bd2f868af02f1,0.1173278126656212,9.877440843473916,9.994768656139536,,No label,No label,0.0001110972163547,3,Original
1870,0x386f550465a62117a4c1a201a419caedc6804185,0.1173278126656212,9.871345739171025,9.988673551836646,,Private,,0.000111029466,3,Original
1871,0x657975e1edd5593977695426ab393203451bc8d6,0.1173278126656212,9.85747796092116,9.97480577358678,,No label,No label,0.0001108753182039,1,Original
1872,0xe435bab862a7bd534ad5f5b6325af6f7281eec49,0.1173278126656212,9.857246385457936,9.974574198123555,,No label,No label,0.0001108727441184,3,Original
1873,0xb2a6ce6ea6b153cd8a67c9d6b84befb9c00824e7,0.1173278126656212,9.852825913916677,9.970153726582298,,No label,No label,0.0001108236082054,3,Original
1874,0xceab2935e06c646e560e2f6083c55db6e8e12099,0.1173278126656212,9.83616602567254,9.95349383833816,,No label,No label,0.0001106384246086,3,Original
1875,0xbd02d380cd7ec1ab6948d2c4a143ce6e22e3c7e2,0.1173278126656212,9.822241830029942,9.939569642695565,,Private,,0.0001104836497029,3,Original
1876,0x07aa3f1aa899c50a9eb34c4d3129071b94ae843b,0.1173278126656212,9.81139834362242,9.92872615628804,,No label,No label,0.0001103631185334,1,Original
1877,0x6d07e4427f32eea1ff500f3b86b606f2162c9040,0.1173278126656212,9.78246950989342,9.89979732255904,,Private,,0.0001100415590246,1,Original
1878,0xccd6917c35f0dca3cd95d20508e778fa08d9bea3,0.1173278126656212,9.782286638961544,9.899614451627166,,Private,,0.0001100395263161,3,Original
1879,0xca706bf43182421cfb3520aa17c5e7d1497d55ee,0.1173278126656212,9.69340599429128,9.810733806956902,,No label,No label,0.0001090515702612,3,Original
1880,0x66ceac5ee8f093059c4bc9628c06e63076505b15,0.1173278126656212,9.673460332979488,9.79078814564511,,No label,No label,0.0001088298635338,3,Original
1881,0xec5efba5ba3900b2b420a23b4f6a32bc25b2d442,0.1173278126656212,9.63581798207668,9.753145794742302,,No label,No label,0.0001084114486063,3,Original
1882,0x765b31e4ee2e6261d5bbc23abc817d454088b49e,0.1173278126656212,9.632236890776356,9.749564703441978,,Private,,0.0001083716428551,1,Original
1883,0x5a630fd5de17f7893668ed157db6d481ee425fa6,0.1173278126656212,9.619072007086428,9.73639981975205,,Private,,0.0001082253081092,3,Original
1884,0x6518f86065462cb312f690aba59277c869bf7afd,0.1173278126656212,9.611587677146254,9.728915489811875,,Private,,0.0001081421157661,3,Original
1885,0x092908e24a28052737b19cb5d665ebc25f483bb1,0.1173278126656212,9.594513463804176,9.711841276469798,,No label,No label,0.0001079523267236,3,Original
1886,0xc45fce7b64a58c40f0db52e4f87f9c682f9cfcf2,0.1173278126656212,9.584702133629753,9.702029946295374,,Private,,0.0001078432685244,3,Original
1887,0x6d7beb18f01063b45d493d9609f215a7268af924,0.1173278126656212,9.57347819377026,9.69080600643588,,No label,No label,0.0001077185084106,3,Original
1888,0x475e5a41aa2c327c273b3bfe57a160d884f12185,0.1173278126656212,9.561527662072022,9.678855474737643,,No label,No label,0.0001075856718386,3,Original
1889,0x3aa9462cdd610c6a165e3e820ec7a0ead8b6fe43,0.1173278126656212,9.555139378976822,9.672467191642443,,Private,,0.0001075146626444,3,Original
1890,0x64b71db718525d9882b7bfd3d044f25d34f3f0a7,0.1173278126656212,9.554598547766528,9.671926360432147,,No label,No label,0.0001075086510153,3,Original
1891,0x72f2b1d5c37e7a8926f67f94574be416aff956ff,0.1173278126656212,9.547232643306106,9.664560455971728,,Private,,0.000107426775035,1,Original
1892,0xd2fe16e649849b7ac05fe68de2776f1f9576cb1b,0.1173278126656212,9.542851242008735,9.660179054674355,,No label,No label,0.0001073780734087,3,Original
1893,0x9c8d8434827b67d6b8c80a668582114430867123,0.1173278126656212,9.539238573148852,9.656566385814472,,No label,No label,0.0001073379166559,3,Original
1894,0x7da610dc64179389591d04c602cc58f5c82725f4,0.1173278126656212,9.526716322036762,9.644044134702384,,No label,No label,0.0001071987251159,3,Original
1895,0x227c0f188ac363ea17da657c7a7c5b3cb52843c9,0.1173278126656212,9.501095474174653,9.618423286840274,,No label,No label,0.000106913935645,3,Original
1896,0x40501c53a83ca993282237a7caedb28c54755325,0.1173278126656212,9.489483902896518,9.60681171556214,,No label,No label,0.0001067848668,3,Original
1897,0xbe81cac22569a1c672dd02e3273f953b5074b0b2,0.1173278126656212,9.489483902896518,9.60681171556214,,No label,No label,0.0001067848668,3,Original
1898,0xba8d82769a2fe4e2e3f76c033b8e456c5ee40222,0.1173278126656212,9.48761369106163,9.604941503727252,,Private,,0.000106764078392,3,Original
1899,0xa41dd9b4728158dc78feced1f19d177e63048076,0.1173278126656212,9.438099290723382,9.555427103389004,,Private,,0.000106213699265,3,Original
1900,0xdb44b321edb09472dd60685fe017fd4c501e9e5a,0.1173278126656212,9.407346736311531,9.524674548977153,,No label,No label,0.0001058718681223,3,Original
1901,0x88ffb774b8583c1c9a2b71b7391861c0be253993,0.1173278126656212,9.395089005542564,9.512416818208186,,No label,No label,0.0001057356168678,3,Original
1902,0xb2cb85175844501ead95987647ed9c261529eb73,0.1173278126656212,9.381036529244918,9.49836434191054,,No label,No label,0.0001055794160539,3,Original
1903,0x1b9fab1407f2804c39c12c1317615f31d1b8f9b9,0.1173278126656212,9.376434868135576,9.4937626808012,,Private,,0.0001055282661216,1,Original
1904,0x91b9e59614995e13a32e36440ac524825f7ae39e,0.1173278126656212,9.37465921033406,9.491987022999682,,No label,No label,0.0001055085287324,1,Original
1905,0x95143890162bd671d77ae9b771881a1cb76c29a4,0.1173278126656212,9.344829036296554,9.462156848962175,,Contract,Other,0.0001051769503424,4,Original
1906,0xc174ec23b7a9765871839cfa9c872123c9b794f2,0.1173278126656212,9.343022007640377,9.460349820305996,,No label,No label,0.0001051568642494,3,Original
1907,0xcc273d10962c7d938a44d2a21358de7032d7d286,0.1173278126656212,9.329633554450176,9.446961367115795,,No label,No label,0.0001050080444085,3,Original
1908,0xfb325ee61cef82a6e360755aa2fc105d545b07fd,0.1173278126656212,9.313144469787815,9.430472282453438,,No label,No label,0.0001048247593852,1,Original
1909,0x6fba1aac65478fa7f269c668b82977612ea9cb95,0.1173278126656212,9.307146379583791,9.424474192249413,,No label,No label,0.0001047580873943,3,Original
1910,0x3af4a49c8e2fcaf33fd3389543b80d320fcc9091,0.1173278126656212,9.262225659056426,9.379553471722048,,No label,No label,0.0001042587694832,3,Original
1911,0xd5d81c39ff47171dbf80c670ccf84b1447e1f29a,0.1173278126656212,9.262002682272357,9.379330494937976,,No label,No label,0.0001042562909766,3,Original
1912,0xaa51e4de058579d7e2d663f33c1e49178c2baf15,0.1173278126656212,9.239322390608244,9.356650203273864,,No label,No label,0.0001040041873655,1,Original
1913,0xb7995a51733ff820bbeefb28770b688b10c1fcfb,0.1173278126656212,9.231678716230324,9.349006528895949,,No label,No label,0.0001039192238235,3,Original
1914,0xdf9244945366060ae8ad8907cd08288ecb490b52,0.1173278126656212,9.213348278065792,9.330676090731414,,No label,No label,0.0001037154711681,3,Original
1915,0x08a1873df6119a27ebd9fddfa58b3d07f2a1562f,0.1173278126656212,9.207554923181329,9.324882735846948,,Private,,0.0001036510749201,3,Original
1916,0x24a6d7442eef7c0a104825f90daf3c04a59d1d88,0.1173278126656212,9.127050500576432,9.244378313242054,,Private,,0.0001027562250678,3,Original
1917,0xa6ee0e278a8ee252441fde9e924ec7b629e3727d,0.1173278126656212,9.115291569397172,9.232619382062794,,Private,,0.0001026255182384,3,Original
1918,0xd584ec183b145f8c18e66b9a224b30f5237be86a,0.1173278126656212,9.076856688339753,9.194184501005374,,No label,No label,0.000102198293913,3,Original
1919,0xaee8c60ff7e8947ad514c4310e0f2e203194c33f,0.1173278126656212,9.063572504930114,9.180900317595736,,Private,,0.0001020506330867,3,Original
1920,0x2ce0e3eea68c0ce46419f741f5d1198dd72c2e43,0.1173278126656212,9.047890211210174,9.165218023875797,,No label,No label,0.0001018763159776,1,Original
1921,0x9c64923492ac0ae509e313011a32a23883c6da36,0.1173278126656212,8.99263764222905,9.109965454894672,,Private,,0.0001012621540274,3,Original
1922,0xa12f2ae0287ebba60bd54da11a01cbf769fd7027,0.1173278126656212,8.97552089465418,9.0928487073198,,No label,No label,0.000101071892194,3,Original
1923,0x1099bc4a5672c45bfe820731490c8d8004b44fa9,0.1173278126656212,8.960904390850125,9.078232203515746,,Private,,0.0001009094219117,3,Original
1924,0x079f4c9456109e34bdd8153086d0b0372d196508,0.1173278126656212,8.917505450364473,9.034833263030094,,No label,No label,0.0001004270194023,3,Original
1925,0x07c5451472ba0794aae1fb8dc04cfaca81e220e8,0.1173278126656212,8.914450822004882,9.031778634670504,,No label,No label,0.0001003930655691,3,Original
1926,0x701b442c5fb841837afc0e01d4a2b4c4844060c3,0.1173278126656212,8.86257584273246,8.97990365539808,,No label,No label,9.981644734072673e-05,3,Original
1927,0x9931edda0abff801ae1c5c54b837d5d34310f717,0.1173278126656212,8.849770731386869,8.96709854405249,,No label,No label,9.967411165747571e-05,3,Original
1928,0x0952c8bcb0ff31ad08c714cd495c34367811c665,0.1173278126656212,8.798442053476975,8.915769866142597,,Private,,9.91035658618555e-05,3,Original
1929,0x2f9eba5d4962b257990bf58de5d1e254477f96b6,0.1173278126656212,8.795335212810818,8.912663025476439,,Private,,9.906903166086068e-05,3,Original
1930,0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,0.1173278126656212,8.785696846033161,8.903024658698783,,No label,No label,9.896189604261449e-05,3,Original
1931,0xebce5f29ff5ca9aa330ebdf7ec6b5f474bff271e,0.1173278126656212,8.716930584814115,8.834258397479736,,Private,,9.81975221522929e-05,3,Original
1932,0x930d3513a4015f656aa225560a1377116b4c5c21,0.1173278126656212,8.715783892532338,8.83311170519796,,No label,No label,9.818477605231762e-05,3,Original
1933,0x4c903567b7e5728b8193a93b7f71636df6b13b48,0.1173278126656212,8.697559373427593,8.814887186093214,,Private,,9.798220074401403e-05,3,Original
1934,0x6eae36176cfe4a4ae39cd8926ce7fa5be374e0af,0.1173278126656212,8.665694147242306,8.783021959907927,,Private,,9.762800165752248e-05,3,Original
1935,0x30bc047f6682b5b3260ac3f895001f17b9a2b94a,0.1173278126656212,8.584616628831533,8.701944441497155,,No label,No label,9.672678153784996e-05,1,Original
1936,0x889d1ca5cc79ce90ae5a828637ba6cd18ce3a286,0.1173278126656212,8.57765359673544,8.694981409401061,,Contract,Other,9.664938370005312e-05,4,Original
1937,0xd6fb642d550c65e3f8306ced3bfeee1caae0e72b,0.1173278126656212,8.563214201753025,8.680542014418647,,No label,No label,9.6488882077296e-05,3,Original
1938,0xc620f7869e899297d70d3c37332d6005f6982d70,0.1173278126656212,8.562749920236843,8.680077732902465,,No label,No label,9.648372133913112e-05,3,Original
1939,0x603eb12591ea79596f5bb940a36e843dee0339a3,0.1173278126656212,8.535819613771539,8.65314742643716,,No label,No label,9.618437653318236e-05,3,Original
1940,0x3bcba50ec74d18c583e0a832dd19ae37e9348790,0.1173278126656212,8.519634191169098,8.63696200383472,,No label,No label,9.600446687658904e-05,3,Original
1941,0xce1ce9cb11e61eb6b38a59370e2412c8f7fe7c78,0.1173278126656212,8.51484053604516,8.632168348710781,,No label,No label,9.595118282782748e-05,3,Original
1942,0xf83b3d5b5f6d22baae6f31b5eced0d40f268ea2b,0.1173278126656212,8.51016334118503,8.627491153850652,,No label,No label,9.589919329738551e-05,3,Original
